????,???,????????,????????,????,??,??????
?????,"????????? ????? ??????? 92, 1?? (???????5??, ????????)",070-4257-5277,2020-01-01,37.59216647,127.0154942,?£Ñ??
??????,"????????? ????? ??????? 15, 1?? (???????1??)",02-762-7521,2020-01-01,37.58938497,127.007731,?????
??????????,????????? ????? ???????? 40-3 (??????),,2020-01-01,37.60836326,127.01022,????4??
?????? ??,"????????? ????? ??????36?? 28, 1?? (??????)",02-943-2385,2020-01-01,37.60241233,127.0170727,????1??
???????,"????????? ????? ?????? 180, 1?? (?£Ñ??4??, ?£Ñ??????)",070-8814-3395,2020-01-01,37.59025998,127.0154033,?£Ñ??
?????,"????????? ????? ??????13?? 22, ??? 210? (??????, ?????????7?????¥ë?????????)",02-914-7773,2020-01-01,37.6094433,127.0193259,????1??
????,"????????? ????? ???????? 160, 1?? (??????)",02-913-6786,2020-01-01,37.61691223,127.0036155,????4??
??????,"????????? ????? ????? 27, 1?? (??????, ???????)",02-915-3588,2020-01-01,37.60625445,127.014863,????2??
????,"????????? ????? ?????? 33, ??A?? ????1?? 2? (??????, ?????????)",02-3292-1734,2020-01-01,37.60504961,127.022011,????1??
?????,"????????? ????? ???? 103, 1?? (????5??)",02-924-7575,2020-01-01,37.58499865,127.0312935,????
??????,"????????? ????? ????? 122, 1?? (?????, ???????)",02-943-1226,2020-01-01,37.60120135,127.0339547,?????
?????,"????????? ????? ?????? 20, 1?? 116? (??????, ?????????,????????3??????? ??)",02-911-4326,2020-01-01,37.60475389,127.0230392,????1??
?????,"????????? ????? ???¬Ý??3?? 158 (?????, ???????)",02-912-4813,2020-01-01,37.60992683,127.0329348,????1??
????????,"????????? ????? ????? 245 (??????, ??????)",070-7531-3824,2020-01-01,37.61089095,127.0565335,????2??
???????,????????? ????? ????? 67 (?????),02-911-7111,2020-01-01,37.60262667,127.0398576,????2??
?????,????????? ????? ?£Ñ????10?? 38 (?£Ñ??1??),02-742-5083,2020-01-01,37.58638632,127.0096735,?£Ñ??
??????,????????? ????? ?????? 82 (????5??),02-924-2121,2020-01-01,37.58611663,127.0283276,????
???¥î?,????????? ????? ???¬Ý?? 99 ???¥î?,02-6925-0008,2020-01-01,37.61075149,127.0351641,????1??
?????????,????????? ????? ??????? 60 (??????),02-957-2583,2020-01-01,37.6092031,127.0589831,??????
?????¥î?,????????? ????? ????? 91 (?????),02-909-3463,2020-01-01,37.60298268,127.0421137,????2??
?????,????????? ????? ???????14?? 51 (??????),02-966-0792,2020-01-01,37.60891295,127.0625345,??????
?????,"????????? ????? ???????? 49, 1?? (??????)",02-6349-2589,2020-01-01,37.60879578,127.00969,????4??
????¢¥?????,????????? ????? ??????? 15 ????¢¥?????,02-922-0544,2020-01-01,37.5942387,127.0159159,??????
??????,"????????? ????? ?????? 123, 1?? (??????)",02-943-2355,2020-01-01,37.61352819,127.0504692,????2??
?????,????????? ????? ???????? 16-1 (??????),02-942-2088,2020-01-01,37.6061251,127.0112888,????2??
???????,"????????? ????? ????? 248, 1?? 101? (??????, ?????????)",02-963-0792,2020-01-01,37.61040424,127.0569046,??????
????,"????????? ????? ??????15?? 1, 1?? (??????)",02-918-1002,2020-01-01,37.61436788,127.0412638,????1??
?????,????????? ????? ???????? 76 (??????),02-914-4103,2020-01-01,37.6111312,127.0089745,????4??
365??,"????????? ????? ??????? 321, 1?? (??????)",02-985-1365,2020-01-01,37.60863032,127.0294596,????2??
?????¢¥?????,????????? ????? ??????? 89 ?????¢¥?????,02-922-0555,2020-01-01,37.60076937,127.0136162,????2??
??????,????????? ????? ?????? 44 (??????7??),02-3291-5354,2020-01-01,37.57954418,127.0227688,??????
????¢¥?????,????????? ????? ????? 76 ????¢¥?????,02-942-4750,2020-01-01,37.60182639,127.0404642,????2??
???????????,????????? ????? ??????? 304 (?????),02-943-3572,2020-01-01,37.60691142,127.0286752,????2??
?????,"????????? ????? ?????? 3, 1?? (??????)",02-980-5350,2020-01-01,37.6094267,127.029845,????2??
???????¯C??,????????? ????? ???????? 43 ???????¯C??,02-942-8831,2020-01-01,37.60817228,127.0098893,????2??
?????,????????? ????? ?????? 57 (??????),02-942-5138,2020-01-01,37.61402486,127.0430894,????1??
???????¢¥?????,????????? ?????  ??????  157 (?£Ñ??5??),02-928-8911,2020-01-01,37.58842896,127.0169156,?£Ñ??
?????,????????? ????? ??????? 71 (???????6??),02-935-7971,2020-01-01,37.59208386,127.0131844,??????
????,????????? ?????  ???????  117-5 (??????),02-916-5342,2020-01-01,37.60243445,127.0131364,????2??
???¢¥?????,????????? ????? ?????? 112 (??????),02-909-0211,2020-01-01,37.61346399,127.0488745,????1??
????,????????? ????? ????? 180 (?????),02-912-0723,2020-01-01,37.60584389,127.0316691,????1??
?©ª????????,????????? ?????  ???????  18-1 (???????2??),02-764-5291,2020-01-01,37.58915068,127.008288,?£Ñ??
??????,"????????? ????? ??????? 248, 105?? ????75? (??????, ??¥î??????)",02-939-9113,2020-01-01,37.60346697,127.0245563,????1??
?©ª????,"????????? ????? ??????? 118 (??????1??, ????????? 1??)",02-927-6554,2020-01-01,37.59332657,127.0181758,??????
???,"????????? ????? ?????4?? 52, 3?? 418-2302? (?????, ??????????? ????)",02-923-9994,2020-01-01,37.59507886,127.0122836,????2??
??????,"????????? ????? ?????? 94 (??????4??, ???????)",02-929-2954,2020-01-01,37.58371438,127.0206053,??????
??¥ï¢¥?????,"????????? ????? ????? 167, 4?? 404-1? (?????, ??????????????)",02-941-3802,2020-01-01,37.6050584,127.0309893,????2??
??????,????????? ????? ????? 649 (??????),070-7648-9731,2020-01-01,37.61611638,127.0571672,????3??
??????,"????????? ????? ?????1?? 23, 1?? (?????)",02-942-7588,2020-01-01,37.60720133,127.0463517,????2??
??????,"????????? ????? ????? 93, 1?? (?????)",02-926-1122,2020-01-01,37.5985487,127.0344019,?????
????????,"????????? ????? ??????? 57, 1?? (??????)",02-967-0777,2020-01-01,37.60884999,127.0588152,??????
??????,????????? ????? ????? 147 (?????),02-6925-0097,2020-01-01,37.60303991,127.0320167,?????
??????,"????????? ????? ????? 68, 1?? (?????)",02-943-8331,2020-01-01,37.59642195,127.0357824,?????
???????,"????????? ????? ???¬Ý?? 57, 1?? (?????)",02-912-6200,2020-01-01,37.60733462,127.0362089,????1??
?????,"????????? ????? ??????? 181, 1?? (?????, ??????????)",02-924-5191,2020-01-01,37.59838959,127.0214428,????1??
????????,"????????? ????? ????? 201 (??????, ?—µ???)",02-943-0900,2020-01-01,37.60859,127.0522327,????2??
????,????????? ????? ???????27?? 79 (??????),02-916-6222,2020-01-01,37.61004971,127.0519891,????2??
??????????,"????????? ????? ?????19?? 83, 1?? (??????)",02-918-7972,2020-01-01,37.60992747,127.051314,????2??
?¥è??¢¥?????,"????????? ????? ????? 85, 1?? (?????)",02-923-0450,2020-01-01,37.59788551,127.0346281,?????
??????????,"????????? ????? ???????? 50, ????1?? B105? (??????, ?????????)",02-914-2053,2020-01-01,37.60886422,127.0100842,????4??
?¥ì???,????????? ????? ?????27?? 13 ?¥ì???,02-927-6959,2020-01-01,37.60264363,127.0314322,?????
????,"????????? ????? ??????? 28, 1?? (??????)",02-965-0237,2020-01-01,37.60705765,127.0611286,??????
??????¢¥?????,"????????? ????? ?????40?? 7, 1?? 109?,110? (??????, ?????????)",02-916-9472,2020-01-01,37.62294618,127.0483959,????3??
?????????,????????? ????? ??????? 32 (???????3??),02-926-4166,2020-01-01,37.58975243,127.0097057,?£Ñ??
?????©­?,"????????? ????? ?????4?? 52, 417?? 501? (?????, ????????????????)",02-929-8723,2020-01-01,37.59507886,127.0122836,????2??
